,Unnamed: 0,Name,Identity,Form,Alignment,Type,Size,F,A,S,E,R,I,P,H,K,Res,Pop,Powers,Equipment,Vehicle,Talents,Contacts,Weaknesses,Powers_Form,Spd,Att,Dam,Climbing,Escaping
795,795,Gamora,Xen Whoberis,,,,,Am,Am,Am,In,Gd,In,Ex,190,70,Ty,,"{'-Ultimate Skill (Martial Arts)': 'Un', '-Martial Arts Supremacy': 'Un'}","{'Time Gem': 'Gamora has the Time Gem, and is capable of warping and manipulating the flow of time. As of this writing, she has yet to develop any power stunts with this Sh-Z rank; Gamora may soon wield its powers with In effects (equal to Psyche). She could duplicate the following powers with the time gem if she so chose', '-Duplication': 'By summoning an alternate future counterparts ', '-Paralyzation (Others)': 'Freeze time around foes ', '-Teleportation': 'Step outside of time for a few rounds and move to another location instantly by restoring time'}",{},"['All Martial Arts, Weapon Specialist: Dagger, Acrobatics, Tumbling, Stealth, Spacecraft Pilot, Astro-Navigation.']",['Infinity Watch'],"['Gamora incurs normal Karma loss from killing. If not, she suffers no loss from directly killing a victim, but loses double the listed Karma penalty for noble deaths, mysterious deaths, and self-destructions that she allows to occur. ', '', 'Talents: All Martial Arts, Weapon Specialist: Dagger, Acrobatics, Tumbling, Stealth, Spacecraft Pilot, Astro-Navigation. ', '', 'Contacts: Infinity Watch', '', '<center><img src=""https://www.angelfire.com/goth/spyderben/gamora.JPG"" align=center> Gamora</img>', '', '<center><img src=""https://imgur.com/zW2K7B9.jpg"" align=center> Gamora\'s Last Suit</img>']",{},0,0,0,0,0
853,853,Gorgon,Tomi Shishido,,,,,In,Rm,Rm,In,Rm,Rm,In,140,130,Rm,,"{'Transmutation': 'In ability to transform anyone that made direct eye contact with him into stone, similar to the Gorgon, Medusa, from ancient Greek Mythology.', 'Telepathy': 'In, the limits of which are unknown. However, he is able to mentally communicate with individuals. Gorgon used his telepathy to mentally “see” everything', 'Empathy': 'In ability to sense other people’s emotions psionically', 'Regenerative Healing Factor': 'In, Gorgon possess an accelerated healing factor that allows him to rapidly regenerate damaged or destroyed bodily tissues. The full'}","{'Godkiller Sword': 'CL1000 material, Rm Edge, can cut through Un materials and body armor, Gorgon carried a powerful blade called Godkiller that could inflict mortal wounds even to mythical beings and gods. ', 'Grasscutter': 'CL1000 material, Rm Edge, can cut through Un materials and body armor'}",{},"['Ninja, Stealth, Swordsman, Leadership, Guns, Thrown Weapons, Sharp Weapons, Oriental Weapons, All Martial Arts, Tumbling, Multi-Lingual: (English, Japanese, Russian)']","['Great Captain of Krakoa, Swordbearers of Krakoa; (Formerly) Hydra, The Hand, Dawn of the White Light']",[''],{},0,0,0,0,0
1015,1015,Captain America,Steve Rogers,,,,,Am,In,Rm,Rm,Ex,In,Am,150,110,Rm,,"{'Super-Soldier Physiology': 'As a result of his treatment with the Super-Soldier Formula and a stabilizing bath of Vita-Rays, Steve Rogers was elevated from a sickly skinny young man to the peak of human physical and mental perfection, giving him the following:', '-Rapid Healing': 'Ty', '-Self Recovery': 'Un', '-Resistance to Toxins and Disease': 'Un resistance to Disease and Toxins', '-Hyper-Running': 'Pr Running (2 areas/round) without tiring.', 'Leadership': 'Rm ability to inspire others to follow him or his cause'}","{'Hydra Supreme Armor': ""An armor Captain America utilized while struggling to maintain control of the United States of America. It was created by Arnim Zola using the majority of the fragments of the Cosmic Cube that had previously taken the form of Kobik, combined with technology stolen from Tony Stark's lab prior to the destruction of The Mount. The armor has the following capabilities:"", '-Body Armor': 'Am material, Am protection vs. Physical, Force, Heat, Cold and Corrosives, Mn protection vs. Energy, Un protection vs. Radiation and Electrical. Mn resistance to EMP  ', '-Variable Repulsors': 'Up to Mn Force, 10 areas', '-Life Support': 'When sealed, the armor has a 12-hour air supply. It also has a 2 day supply of recycled water.  ', '-Protected Senses': 'Mn protection against high-intensity Light or Sonic attack  ', '-Resistance to Mind Control': 'In protection vs. Mind Control ', '-Communications': 'Am multi-spectrum communication with 2,000 mile range. An Integrated universal translator of In sophistication is included.  ', '-Sensors': 'Am, the armor is equipped with the following sensors:', '--Infrared Vision': '10 areas ', '--Radar and Sonar Detectors': '20 areas', '--Exotic Energy and Life Detectors': '25 miles ', 'Shield': 'Un material, Rogers wields a new triangular shield that is capable of the following power stunts:', '-Retractable Blade': 'Mn material, Up to Am Edge, it retracts from the bottom point of the shield. ', 'Cosmic Cube': 'The Cosmic Cube is an item that can control matter and energy, answering to the will of the sentient beings that use them. They require practice to be used properly, but a skillful user can alter all reality to answer to its thoughts, granting anything they desire. It is capable of the following:', '-Reality Manipulation': 'The Cosmic Cube provides its wielder with the ability to restructure a section of its surroundings into whatever shape and nature they desire. This power is limited to twice the wielder’s Psyche score, up to CL1000. The Cosmic Cube’s Reality Manipulation initially affects a single area but the zone of effect increases by 1 area per turn. The maximum area of effect is up to a solar system. The effect lasts for two years. In truth, the restructured area is actually a pocket dimension that overlaps the real, unaffected area.', '-Invulnerability': 'Am material. If it should be destroyed, all of its effects are instantaneously nullified. At the Judge’s discretion, there is also a 1 in 10 chance of', '-NOTE': 'Limiting a Cube’ powers to twice the wielder’s Psyche represents the self-imposed restrictions of the pre-sentient Cube itself. In certain cases, these restrictions can be superseded; Dr. Doom used a mechanical device to suppress the Cube’s restrictions when he used the Cube to steal the power of Galactus. (a FEAT roll against Galactus’ Endurance, which had dropped to CL1000 due to his Hunger).'}",{},"['Military, Marksmanship, Guns, Weapon Specialist: (Shield), Leadership, All Martial Arts, Acrobatics, Tumbling, Weapons Master, Thrown Weapons, Thrown Objects, Sharp Weapons, Motorcycles, Stealth, Camouflage, Criminology, Interrogation, Negotiations, Detective/Espionage, Tracking, Survival, First Aid, Pilot, Wrestling, Artist, Multi-Lingual: (English, Russian, German, Japanese, Greek)']","['Hydra, The Avengers (Hydra)']",[''],{},0,0,0,0,0
1037,1037,Ikari,,,,,,In,In,Ex,Ex,Gd,Am,Ex,120,80,Gd,,"{'Enhanced Senses': 'Mn Taste, Touch, Smelling and Hearing, Overloading these senses reduce his Intuition by -1cs. Any FEAT against specific attacks are -2cs. Ikari is able to perform the following power stunts:', '-Lie Detection': 'Am ability uses his enhanced hearing to determine if someone is lying by listening to their heartbeat.', '-Tracking': 'Mn ability to track by a specific odor or heartbeat.', '-Superhuman Sense of Balance': ""Mn Agility; Ikari's sensory organs have such a high level of development, his inner ear, which controls the equilibrium and motion of the body, aiding him in acrobatic feats."", 'Radar Sense': 'Mn, Ikari has developed an omni-directional sense that operates as primitive radar. His Radar Sense reacts to an emission of electromagnetic energy a mutation in his brain has caused, reading the reverberations of this energy as a 360º, 3-D map of objects up to 3 areas away regardless of light conditions. Rapid movements and chaotic conditions reduce the power and Intuition by -2cs. Ikari cannot be blindsided.', '-Energy Detection': 'Am ability to detect and identify any electromagnetic radiation on the standard scale; from radio waves, which he can only detect, not understand the message, all the way to gamma waves, and everything in between. He is also able to judge the strength of a given radiation and even differentiate between individual colors by the amount of radiation they give off.'}","{'Kusurigama Blades': '(x2) In material, Rm Edge or Ex Blunt', 'Costume': 'Gd protection vs Physical'}",{},"['Weapons Specialist (Kusurigama Blades), Acrobatics, Tumbling, All Martial Arts, Wrestling, Marksman, Oriental Weapons, Thrown Weapons, Thrown Objects, Blunt Weapons, Stealth, Detective/Espionage, Intimidation/Interrogation, Disguise, Resist Domination']",[],"[""Radar Sense Disruption: Ikari's superhuman senses render him extraordinarily vulnerable to excessive sound, odors, etc., which can temporarily weaken his Radar Sense or if he is bombarded by too much sound at once, Ikari can easily be immobilized, which causes him great pain and leaves him disoriented. Once the disruptive effects wear off, Ikari's Radar Sense is able to return to its normal calibration."", '', 'Talents: Weapons Specialist (Kusurigama Blades), Acrobatics, Tumbling, All Martial Arts, Wrestling, Marksman, Oriental Weapons, Thrown Weapons, Thrown Objects, Blunt Weapons, Stealth, Detective/Espionage, Intimidation/Interrogation, Disguise, Resist Domination']",{},0,0,0,0,0
1075,1075,Iron Fist,Daniel Rand,,,,,Am,Rm,Gd,Rm,Ex,Gd,Am,120,80,Ty,,"{'Chi': 'With a Psyche FEAT after concentrating for one round, Iron Fist can increase his Fighting, Agility, Endurance, or Strength by +1cs for 10 rounds. On a Yellow Psyche FEAT or better, Iron Fist can choose to raise 2 attributes by +1cs. The duration does not increase. After the 10 rounds has expired, Iron Fist will lose the increased Health benefit. If this should bring him to 0, he is unconscious, but will not start losing Endurance ranks unless it is actual damage that brings him past 0.', 'Healing': 'Un ability to heal himself or others with Chi. He must have an appropriate amount of Karma equal to the amount he wishes to heal in order to use this ability.', 'Iron Fist': 'Iron Fist can surround his hands or feet with the glowing power of the Iron Fist. The hero must make a Psyche FEAT in order to use this ability. The damage is dependent on the results of the Psyche feat as follows', '-Green': 'In damage', '-Yellow': 'Am damage', '-Red': 'Mn damage. If his psyche feat result is Red, Iron Fist must make an Endurance FEAT on the Stun column immediately after striking the blow. The Iron Fist may perform this maneuver as often as he likes but each time after the first he attempts this his Psyche FEAT suffers a cumulative -1cs. He cannot Perform this if his effective Psyche rank would be Sh-0. In addition, after the first use of the Iron Fist, any Endurance FEAT he makes to ward off the effects of his Red successful Psyche FEAT (the Stun) suffers a cumulative -1cs.', '-Iron Fist Projection': 'Iron Fist can project this power up to one area away, but the damage is -1cs. He cannot use this form of Iron Fist more than once per day. Alternately he can choose to infuse thrown weapons with this power doing Base Damage + Iron Fist intensity.', '-Hypnotic Fists': 'Iron Fist can manifest Ex Hypnosis from the power of the Iron Fist. This power does not require a Psyche FEAT, but it does count towards the cumulative -1cs for using the Iron Fist power multiple times.', 'Energy Conversion': 'Ex, Iron Fist can make a Power FEAT when he is struck by any Physical or Energy attack. If the result is successful, he may immediately channel that energy into his Chi and increase his damage by that amount. This power is limited to 25 points per day. If the Energy rank is too intense for this power, it will not work.', 'Dimensional Travel': 'Gd, After a round of concentration focusing his chi, Iron Fist may travel to other dimensions. He must first succeed at a Psyche FEAT of Mn intensity. After this, he can use this power normally. He need not make the Psyche FEAT to travel to K’un Lun.', 'Iron Will': 'Mn', 'Magic Detection': 'Gd, Magic involving K’un Lun grants a bonus of +2cs.'}",{},{},"[""Thrown Weapons, Oriental Weapons, Marksmanship, All Martial Arts, Acrobatics, Tumbling, Guns, Business/Finance, Detective/Espionage, Multi-Lingual: (English, Tibetian, Chinese, Japanese, K'un L'un)""]","['Avengers, Luke Cage, Jessica Jones, Defenders']",[''],{},0,0,0,0,0
1134,1134,Iron Monk,,,,,,Rm,Rm,Am,Rm,Ex,Ex,Ex,140,60,Ty,,{},{},{},"['All Martial Arts, Melee Weapons, Stealth']",[],[''],{},0,0,0,0,0
1139,1139,Captain America,Isaiah Bradley,,,,,Am,In,Rm,Rm,Gd,Rm,In,150,80,Ty,,"{'Immune to Disease': 'Mn', 'Slowed Aging': 'His aging process was also slowed to some degree.'}","{'Body Armor': 'Gd protection vs. Edge and Shooting, Ty protection vs. Blunt attacks ', 'Triangular Shield': 'Mn material, he can use it to block up to 75 damage from an attack, but he is still subject to Stuns and Slams.'}",{},"['Weapons Specialist: (Shield), All Martial Arts, Military']",['None'],[''],{},0,0,0,0,0
1143,1143,Master Izo,,,,,,Am,Rm,Gd,Rm,Rm,Un,Un,120,230,Pr,,"{'Proximity Sense': 'Un combat sense, Izo cannot be blindsided, and this ability worked even in darkness.', 'Enhanced Senses': 'Am taste, touch, hearing, and smell ', 'Immortality': 'Izo evidently possesses some form of immortality or at least life-extending capability, as he is now somewhere in the area of 500 years old.'}","{'Katana Swords': 'Rm material, Ex Edge, Izo can perform the following power stunts:', '-Deflection': 'Izo can use his swords to deflect arrows and thrown weapons such as shurikens. This action requires a successful Agility FEAT roll.'}",{},"['All Martial Arts, Acrobatics, Swords Master, First Aid']",['Daredevil'],[''],{},0,0,0,0,0
1222,1222,Kang the Conqueror,Nathaniel Richards of Earth-6311,,,,,Rm,Gd,Rm,In,In,Rm,In,110,110,Am,,{},"{'Body Armor': 'Kang wears full body armor that provides Rm protection. Has the following power stunts:', '-Resistance to Corrosives, Toxins, and Disease': 'Rm ', '-Self-Sustenance': ""Kang doesn't need to eat or sleep."", '-Force Field': '+2CS protection. It is effective against all Physical, Energy and Force attacks, but not Mental or Magical attacks.', '-Blaster Gauntlets': 'In Force or Energy, 7 areas', '-Summon Weapons': 'Kang has the ability to summon any type of weapon he chooses with a limit of Mn ability.'}","{'Time Ship': 'This time-ship travels from era to era, and is also capable of interplanetary space travel.', '-Control': 'Un ', '-Speed': 'In ', '-Body': 'Am ', '-Protection': 'None', 'Hover Pad': ""Personal vehicle while he's on the surface of a planet.""}","['Leadership, Marksmanship, Business/Finance, All Martial Arts, History, Repair/Tinkering']",['Scarlet Centurion'],[''],{},0,0,0,0,0
1263,1263,Kirigi,,,,,,Rm,Rm,Gd,Rm,Ty,Ex,Ex,100,46,Rm,,{},"{'Costume': 'Pr protection vs. Physical and Energy ', '-Molecular Poison': 'All Hand Ninjas wear special nightsuits that are are treated with a molecular poison. If Kirigi is rendered unconcious or otherwise defeated, the posion is activated and Kirigi disolve in a single turn.', 'Katana Swords': 'In material, In Edge or Blunt ', 'Shurikens': 'In material, Ex Thrown Edge'}",{},"['Ninja, Stealth, Oriental Weapons, Thrown Weapons, All Martial Arts, Swordsman']",['The Hand'],[''],{},0,0,0,0,0
1293,1293,Kuroyama,,,,,,Am,Am,In,In,Ex,Rm,In,180,90,Gd,,"{'Growth': '(Permanent) Ty', 'Invulnerability': 'Am resistance to Physical and Energy'}","{'Chain and Sickle': 'Am material, Am Edge or Blunt, reaches up to 2 areas', 'Tachi': 'Am material, up to Am Edge', 'Shurikens': '(x9) Gd material, Ex Edge'}",{},"['Acrobatics, Tumbling, All Martial Arts, Occult Lore, Escape Artist, Stealth, Melee Weapons, Thrown Weapons']",['The Hand'],[''],{},0,0,0,0,0
1385,1385,Lyra,,,,,,Am,Ex,Mn,Mn,Gd,Gd,Ex,220,40,Ex,,"{'Robotic Contstruct': ""Milago scientists back-engineered a child's toy to be a direct link to the Gynosure. It contains the collective knowledge of Milago, which gives Boudicca the following abilities"", '-Recorded History': 'Boudicca holds Un Reason on the past ', '-Total Recall': 'Mn'}",{},{},"['All Martial Arts, Military, Leadership, Resist Domination']",['None'],"['Anger: The more anger and rage consume her, the weaker she gets. She loses -1cs Strength each round she is enraged.', '', 'Talents: All Martial Arts, Military, Leadership, Resist Domination ', '', 'Contacts: None ', '', '<center><img src=""http://marvel.u.angelfire.com/lyra.JPG"" align=center> Lyra\'s Last Costume</img></center>', '', '<center><img src=""http://marvel.u.angelfire.com/lyra4.JPG"" align=center> Lyra\'s Frightful Four Costume</img></center>', '', '<center><img src=""http://marvelhero.angelfire.com/lyra.JPG"" align=center> Lyra\'s Jumpsuit</img></center>', '', '<hr>', '<center><img src=""http://marvel.u.angelfire.com/boudicca.JPG"" align=center> Boudicca</img></center>', '', 'R) In40 ', 'I) In40 ', 'P) Ex20 ', '', ""Robotic Contstruct: Milago scientists back-engineered a child's toy to be a direct link to the Gynosure. It contains the collective knowledge of Milago, which gives Boudicca the following abilities: "", '-Recorded History: Boudicca holds Un Reason on the past ', '-Total Recall: Mn']",{},0,0,0,0,0
1481,1481,Maxam,,,,,,In,Ex,Un,Mn,Ex,Gd,Am,235/100,80,Gd,,"{'Growth': 'Gd, Maxam is able to grow in size and Strength, as shown above. He also gains the following abilities:', '-Invulnerability': 'Un resistance to Physical, Energy, Toxin, Disease, Radiation'}",{},{},"['All Martial Arts, Wrestling']",['Infinity Watch'],[''],{},0,0,0,0,0
1490,1490,Melee,,,,,,Am,In,Ex,Rm,Ex,Ex,Rm,140,70,Ty,,{},{},{},"['All Martial Arts, Acrobatics, Tumbling']",['The Initiative'],[''],{},0,0,0,0,0
1561,1561,Monkey King,Sun Wukong,,,,,Am,Rm,In,In,Gd,Gd,Am,160,70,Ex,,"{'Xian Physiology': ""The true extent of the original Monkey King's powers are unknown. He was one of the most powerful of the Xian capable defeating many of their greatest warriors. It is unknown to what extent his successor has inherited his powers:"", '-Body Resistance': 'Rm resistance to Physical and Energy', '-Lightning Speed': 'Rm landspeed', '-Shape-Shifting': 'Mn ability to to shape-shift in to various animals like an eagle, frog and a lion.'}",{},{},"['All Martial Arts, Acrobatics, Weapon Specialist: (Ruyi Jingu Bang)']","['The Ascendants, S.P.E.A.R.']",[''],{},0,0,0,0,0
1602,1602,Mister Gryphon,,,,,,Rm,Gd,Rm,In,In,Rm,In,110,110,Am,,"{'Time Portal': 'Un ability to create time portals. Gryphon has used his time portals to perform the following power stunts:', '-Teleportation': 'Un', '-Summon Allies': 'Mn, Gryphon has used the time portals to summon several versions of Equinox at various points in time, creating an army of Equinoxs to help him.', 'Necromancy': 'Mn ability to summon zombies to help his cause.'}","{'Body Armor': 'Kang wears full body armor that provides Rm protection. Has the following power stunts:', '-Resistance to Corrosives, Toxins, and Disease': 'Rm ', '-Self-Sustenance': ""Kang doesn't need to eat or sleep."", '-Force Field': '+2CS protection. It is effective against all Physical, Energy and Force attacks, but not Mental or Magical attacks.', '-Blaster Gauntlets': 'In Force or Energy, 7 areas', '-Summon Weapons': 'Kang has the ability to summon any type of weapon he chooses with a limit of Mn ability.'}",{},"['Leadership, Marksmanship, Business/Finance, All Martial Arts, History, Repair/Tinkering']","['Qeng Enterprises, Warbringer, Equinox, Radioactive Man, Cyclone']",[''],{},0,0,0,0,0
1655,1655,Nighthawk,Congressman Kyle Richmond,,,,,Am,In,Ex,Ex,In,In,Am,130,130,In,,{},"{'Nighthawk Costume': 'The The Nighthawk Costume provides Nighthawk with the following:', '-Body Armor': 'Ex protection vs. Physical and Energy, Rm protection vs. Fire and Heat', 'Cowl': ""Nighthawk's cowl provides him with the following:"", '-Head Protection': 'Ex protection vs. Physical and Energy, Rm protection vs. Fire and Heat', '-Headbutt': 'Benefit of +1cs Blunt Strength damage for Headbutts', '-Night Vision Lenses': 'Rm', 'Cape': ""Nighthawk's cape provides him with the following:"", '-Gliding': 'Gd ', 'Weapons': 'Nighthawk has used the following weapons in combat:', '-Gamma Grenades': 'Am damage to an entire area'}",{},"['Detective/Espionage, Politics, All Martial Arts, Acrobatics, Tumbling, Intimidation, Interrogation, Resist Domination, Motorcycles']","['The Squadron Supreme of America, US Government']",[''],{},0,0,0,0,0
1671,1671,Nomad,Steve Rogers,,,,,Am,In,Rm,Rm,Gd,In,Rm,150,80,Rm,,"{'Super-Soldier Physiology': 'As a result of his treatment with the Super-Soldier Formula and a stabilizing bath of Vita-Rays, Steve Rogers was elevated from a sickly skinny young man to the peak of human physical and mental perfection, giving him the following:', '-Rapid Healing': 'Ty', '-Self Recovery': 'Un', '-Resistance to Toxins and Disease': 'Un resistance to Disease and Toxins', '-Hyper-Running': 'Pr Running (2 areas/round) without tiring.'}",{},{},"['Military, Marksmanship, Guns, Weapon Specialist: (Shield), Leadership, All Martial Arts, Acrobatics, Tumbling, Weapons Master, Thrown Weapons, Thrown Objects, Sharp Weapons, Motorcycles, Stealth, Camouflage, Criminology, Interrogation, Negotiations, Detective/Espionage, Tracking, Survival, First Aid, Pilot, Wrestling, Artist, Multi-Lingual: (English, Russian, German, Japanese, Greek)']",['Falcon'],[''],{},0,0,0,0,0
1684,1684,Nova,Captain Steve Rogers,,,,,Am,In,Mn,Un,Ex,In,Am,265,110,Rm,,"{'Super-Soldier Physiology': 'As a result of his treatment with the Super-Soldier Formula and a stabilizing bath of Vita-Rays, Steve Rogers was elevated from a sickly skinny young man to the peak of human physical and mental perfection, giving him the following:', '-Rapid Healing': 'Ty', '-Self Recovery': 'Un', '-Resistance to Toxins and Disease': 'Un resistance to Disease and Toxins', '-Hyper-Running': 'Pr Running (2 areas/round) without tiring.', 'Leadership': 'Rm ability to inspire others to follow him or his cause ', 'Nova Force': ""After putting on Nova's helmet, Rogers gained the following abilities:"", '-Body Armor': 'Am protection from Physical and Energy', '-Regeneration': 'Mn', '-Recovery': 'Am', '-Flight': 'CL1000 airspeed, the drawback is that he needs an Agility FEAT for any turns attempted at speeds over Rm airspeed. ', '-Energy Generation': 'Sh-X Energy, Nova can perform the following power stunts:', '--Energy Blast': 'Up to Un Energy, 10 area', '--Energy Absorption': 'Un'}","{'Nova Uniform': 'To stabilize Rogers during manipulation of the Nova Force, the Worldmind modified his uniform to help contain and regulate the powers by absorbing some of the Nova Force energies. The Nova Uniform grants Nova with the following abilities:', '-Air Supply': '6 hours', '-Radio Reception': 'Ex', '-Invulnerability': 'Ex protection vs. Extreme Temperatures', '-Infrared Sensor': 'Gd ', '-Self-Repair': 'Am', '-Illumination Beam': 'In Illumination', '-Mood Regulators': 'The Nova Uniform contains adrenalin inhibitors, neural pacifiers and endorphin booster to moderate his moods as needed.', 'Worldmind': 'Rider currently hosts the Xandarian Worldmind, a Class G collective artifical sentience created to govern and maintain all of Xandarian culture. This bond will help Rider maintain self-control when tapping the full power of the Nova Force. The Worldmind has the following abilities:', '-Reason': 'Un, usually offers Nova advice, insights, recommendations and instructions. ', '-Xandarian Background': 'The Worldmind contains all the knowledge of the lost Xandarian culture, including their arts, sciences, history, technology and philosophy, as well as a bio-template of the entire Xandarian race.', '-Communications': ""Un ability to communicate verbally or mental with Worldmind. Others can communicate with the Worldmind by donning Rider's helmet."", '-Heads-Up Display': ""The The Worldmind can display visuals inside Rider's helmet for his viewing""}",{},"['Military, Marksmanship, Guns, Weapon Specialist: (Shield), Leadership, All Martial Arts, Acrobatics, Tumbling, Weapons Master, Thrown Weapons, Thrown Objects, Sharp Weapons, Motorcycles, Stealth, Camouflage, Criminology, Interrogation, Negotiations, Detective/Espionage, Tracking, Survival, First Aid, Pilot, Wrestling, Artist, Multi-Lingual: (English, Russian, German, Japanese, Greek)']","['The Avengers, Nick Fury, Falcon, Sharon Carter, S.H.I.E.L.D., U.S. Government']",[''],{},0,0,0,0,0
1691,1691,Ogun,,,,,,Sh,Rm,Sh,In,Gd,In,Rm,140,80,0,,{'Possesion': 'In.'},{},{},"['All Martial Arts, Oriental Weapons, Ninja, Stealth']",['None'],[''],{},0,0,0,0,0
1693,1693,Okoye,,,,,,Am,Ex,Gd,In,Ex,Rm,Rm,120,80,Pop:,0/80,{},"{'Body Armor': 'Rm protection vs. Physical and Energy ', 'Spear': ""Un material, Okoye's spear has the following capabilities"", '-Standard Attack': 'Am Edge or Blunt ', '-Electrical Generation': 'Rm Electricity on contact with target'}",{},"['All Martial Arts, Strategist, Acrobatics, Tumbling, Bi-Lingual: (Xhosa, English), Edged Weapons, Thrown Weapons']","['Dora Milaje, Wakandan Royal Family, Agents of Wakanda']",[''],{},0,0,0,0,0
1695,1695,Old Man Logan,James Howlett,,,,,In,Rm,Gd,Rm,Gd,Mn,In,110,125,Ex,,"{'Adamantium Skeleton': ""Logan's skeleton has been laced with Adamantium, giving them CL1000 material. This provides the following benefits:"", 'Claws': 'CL1000 material, Logan can extend his retractable claws, causing up to Mn Edge', 'Animal Empathy': 'Am ability with mammalian carnivores', 'Heightened Senses': 'Mn Smell, In Hearing', 'Tracking': 'Am', 'Regeneration': 'Am. Regains 10 Health/hour or 1 point every six minutes', 'Resistance to Poison, Gases, Drugs and Disease': 'Un', 'Recovery': 'Un   ', 'Berserker Rage': 'Though less in evidence these days than in the past, Logan still flies into a rage, losing Karma and ""going berserk."" Logan must make a Yellow Psyche FEAT must be made to come out of it. While it may be bad, he gains the following power stunts:', '-Mental Resistance': 'Un resistance to mind control and other mental attacks.'}",{},{},"['Guns, Thrown Weapons, Edged Weapons, Oriental Weapons Master, Weapon Specialist: (Claws), All Martial Arts,  Wrestling, Acrobatics, Tumbling, Military, Detective/Espionage, Criminology, Resist Domination, Escape Artist, Motorcycle, Streetwise, Survival, Multi-Lingual: (English, Japanese, Russian)']",['X-Men'],[''],{},0,0,0,0,0
1787,1787,Power Princess,Zarda Shelton,,,,,Un,In,Un,Mn,Ex,Rm,In,315/100,90,Gd,,"{'Utopian Physiology': 'Zarda is a Utopian from Utopia Isle. Her very body gives her the following abilities:', '-True Invulnerability': 'Mn protection vs. Physical and Energy', '-Hyper-Running': 'Ex', '-True Flight': 'Am airspeed', '-Enhanced Senses': 'Ex Sight, Hearing, Taste and Smell'}","{'Sword': 'Un material, Up to Un Edge', 'Shield': 'Un material, blocks up to 100 points of damage, still subject to Stuns and Slams', 'Utopia Isle Necklace': 'Zarda wears a special necklace to dampen her abilities when she was in her secret identity. She loses her abilities and stats change as shown above'}",{},"['All Martial Arts, Wrestling, Pilot, Weapons Master, Marksmanship, Acrobatics, Tumbling']","['Squadron Supreme of America, Hyperion']",[''],{},0,0,0,0,0
1799,1799,Prince of Orphans,John Aman,,,,,Am,Rm,In,Am,Ex,Rm,Am,170,100,Ty,,"{'Mist Form': 'Mn ability to transform himself into a green mist which enables him to perform the following power stunts:', '-Teleportation': 'Mn', '-Suffocation': ""He can attack in this state by forcing his way into a character's lungs and suffocating them, causing Rm damage each round. The victim will pass out if an End. FEAT is failed. "", '-Size Manipulation': 'Mn ability to fill spaces as large as a room or fit into objects as small as a test tube. ', 'Astral Projection': 'Un ability to astrally project himself or interact with the spirits of the dead. The Prince of Orphans can be physically harmed by spirits.', 'Immortal': 'Though it has not been confirmed, the Prince of Orphans seems to be immortal', 'Chi': 'The Prince of Orphans can harness his chi to perform the following power stunts:', '-Heal Others': 'Am', '-Extradimensional Tracking': 'In ability to track extradimensional vibrations'}",{},{},"['All Martial Arts, Acrobatics, Tumbling, Stealth, Ninja, Tracking']","['Iron Fist, Secret Avengers']",[''],{},0,0,0,0,0
