,Unnamed: 0,Name,Identity,Form,Alignment,Type,Size,F,A,S,E,R,I,P,H,K,Res,Pop,Powers,Equipment,Vehicle,Talents,Contacts,Weaknesses,Powers_Form,Spd,Att,Dam,Climbing,Escaping
1815,1815,Psylocke,"Elizabeth ""Betsy"" Braddock",,,,,Am,In,Rm,In,Gd,Rm,Un,160,140,Ex,,"{'Telekinesis': 'Un, Psylocke is able to perform the following power stunts with her telekinesis:', '-Blastwave/Shockwave': 'Un ', '-Floating Disk': 'Able to carry up to 8-10 people ', '-Leaping': 'In', '-Martial Striking': 'Am', '-Kinetic Control': 'Un Paralysis/Momentum ', '-Force Field Generation': 'Un, can perform the following power stunts', '--Force Field with Micro-Envinronment': 'Am Containment/Entrapment ', '-Force Attack': 'In', '-Psychic weaponry': 'Un, Able to cut through up to Un material', '-Flight': 'Sh-X airspeed', 'Psi-Screen': 'CL1000 ', 'Resist Power Maniuplation, Reality Manipulation': 'CL1000 ', 'Body Resistance': 'Rm', 'Regenration': 'Ex'}","{'X-Men Uniform': 'Rm material, the Uniforms are constructed out of unstable molecule fabric. It provides her with the following:', '-Body Armor': 'Ex protection vs. Physical and Energy', '-Insulated': 'Gd protection vs. Heat and Cold', '-Comlink': '250 mile range and a GPS tracking device built into it', '-Detection Scrambler': 'Am protection vs. Electronic Mutant Detection'}",{},"['All Martial Arts, Acrobatics, Tumbling, Oriental Weapons, Weapon Specialist: (Psychic Weapons), Multi-Lingual, Espionage/Detective, Crime, Escape Artist, Stealth, Performer: (Modeling, Singer)']","['X-Men, Captain Britain, Hellfire Club, Roma']",[''],{},0,0,0,0,0
1818,1818,Psylocke,"Elizabeth ""Betsy"" Braddock",,,,,Am,In,Rm,In,Gd,Rm,Un,160,140,Ex,,"{'Telekinesis': 'Un, Psylocke is able to perform the following power stunts with her telekinesis', '-Blastwave/Shockwave': 'Un ', '-Floating Disk': 'Able to carry up to 8-10 people ', '-Leaping': 'In ', '-Martial Striking': 'Am ', '-Kinetic Control': 'Un Paralysis/Momentum ', '-Force Field Generation': 'Un, can perform the following power stunts', '--Force Field with Micro-Environment': 'Am Containment/Entrapment ', '-Force Attack': 'In ', '-Psychic Weaponry': 'Un, Able to cut through up to Un material ', '-Flight': 'Sh-X airspeed ', 'Telepathy': 'Mn ability to affect and manipulate the minds of other sentient beings. Psylocke can read minds and communicate mentally with others over long distances. When she telepathically communicates with another person over a distance, that person often perceives her presence as a butterfly-like image bearing large eyes on its wings. She is able to perform the following power stunts:', '-Psychic Knives': 'Being the summation of her psionic energy, they do Am Energy to a living target and the target is required to make a Psyche FEAT vs. Ex intensity when a hit is scored, vs. In intensity when a stun is scored, and vs. Mn intensity when a kill is scored. ', '-Psychic Detection': 'In, this means Psylocke cannot be surprised in addition to the normal use of this power. ', '-Mental Probe': ""In, by anticipating what her opponent is going to do Psylocke gets +2cs on her attacks, dodges or evasions. Every round she must make a power FEAT vs. the opponent's Psyche so people with a Psyche higher than Am are immune. "", '-Astral Projection': 'Mn ability to project her astral form from her body onto astral planes or the physical planes. In the astral plane, she can mentally create psionic objects and manipulate the aspects of her environment. Under the effects of the Crimson Dawn her astral form was normally undetectable.', '-Psionic Shadow': 'Mn ability to mask her presence from others. Her abilities can go undetected and are very difficult to track, even by very powerful telepaths such as Shadow King. She can extend these defenses to others around her as well.', '-Telepathic Illusions': 'Am ability to create illusions to make herself seem to be invisible, look like someone else, or make others experience events that are not truly happening.', '-Mind Control': 'Mn ability to control the minds of others.', '-Mental Paralysis': 'Am ability to induce temporary mental or physical paralysis', '-Mental Amnesia': 'Mn ability to erase any awareness of particular memories or cause total amnesia.', '-Telepathic Tracking': 'Mn ability to track other sentient beings by their unique psionic emanations (thought patterns contained in the psionic portion of the spectrum) especially if they pose a threat to her well-being in her immediate vicinity.', '-Psionic Blasts': 'Mn ', '-Psi-Screen': 'CL1000 ', 'Resist Power Manipulation, Reality Manipulation': 'CL1000 ', 'Body Resistance': 'Rm ', 'Regeneration': 'Ex'}","{'X-Men Uniform': 'Rm material, the Uniforms are constructed out of unstable molecule fabric. It provides her with the following', '-Body Armor': 'Ex protection vs. Physical and Energy ', '-Insulated': 'Gd protection vs. Heat and Cold ', '-Comlink': '250 mile range and a GPS tracking device built into it ', '-Detection Scrambler': 'Am protection vs. Electronic Mutant Detection'}",{},"['All Martial Arts, Acrobatics, Tumbling, Oriental Weapons, Weapon Specialist: (Psychic Weapons), Multi-Lingual, Espionage/Detective, Crime, Escape Artist, Stealth, Performer: (Modeling, Singer)']","['X-Men, Captain Britain']",[''],{},0,0,0,0,0
1893,1893,The Red Skull,Johann Schmidt,,,,,In,In,Ex,Rm,Gd,In,Rm,130,80,Gd,,{},"{'Body Armor': 'Rm protection vs. Physical and Energy, also has the following power stunts:', '-Force Field': 'Am protection vs. Physical and Energy, In protection vs. Corrosives, Am protection vs. Heat and Cold', '-Enhanced Stats': ""The armor raises Red Skull's Strength to In and his Endurance to Am, health does not change"", 'Gun': 'Rm Shooting, 10 areas ', 'Nanites': 'Mn Mind Control when placed on forehead. Must make a Mn Psyche FEAT vs. mind control. Can be burned out of system or by electromagnetic pulse. ', 'Dust of Death': 'Rm intensity poison that caused those failing an End. FEAT to die, with their heads changing to resemble a red skull. He could fire the dust in a pellet form from a specially designed handgun.'}",{},"['All Martial Arts, Leadership, Military, Marksmanship']",[],[''],{},0,0,0,0,0
1894,1894,The Red Skull,Johann Schmidt,,,,,In,In,Ex,Rm,Gd,In,Am,130,100,Gd,,"{'Fused Brain': 'After fusing his own brain with that of Charles Xavier, the new Red Skull has the following power stunts:', '-Mind Probe': 'Mn', '-Project Thought': 'Mn', '-Mental Command': 'Am', '-Psionic Detection': 'Mn', '-Mental Illusions': 'Mn'}",{},{},"['All Martial Arts, Leadership, Military, Marksmanship']",['The S-Men'],[''],{},0,0,0,0,0
1957,1957,Ronin,Maya Lopez,,,,,In,In,Gd,Ex,Gd,Gd,Ex,110,40,Ex,,"{'Photographic Reflexes': 'Echo can duplicate any physical action that she sees, ranging from musical performance and ballet to martial arts and weapons usage. She must make a Mn power FEAT to do so. In combat, she can automatically block one attack by a studied character on a power FEAT, she can block 2 attack if she succeeds an In powers FEAT. In addition, studied characters are at -2CS against her. If a character drastically changes her fighting style into an erratic, chaotic style (fight at -3CS with no talent bonus) then Echo cannot use this power and is at -2CS', 'Stealth': 'Am', 'Martial Arts Supremacy': 'In'}","{'Costume': 'Ex protection vs. Physical, also has the following abilities', '-Blending': 'Rm blending with shadows and in dim light. Opponent must shift on Int. FEAT rolls when trying to spot him. ', 'Nunchakus': 'Rm material, Rm Blunt attack ', 'Katana Sword': 'In material, In Edge'}",{},"['Thrown Weapons, Sharp Weapons, Oriental Weapons, All Martial Arts, Tumbling, Ninja skills, Stealth, Dancing, Performer: (Piano), Boxing, Pilot']",['New Avengers'],[''],{},0,0,0,0,0
2009,2009,Scarlet Centurion,Marcus,,,,,In,Rm,Am,Am,Gd,Gd,Rm,170,50,Am,,{},"{'Body Armor': 'In protection vs. Physical and Energy', '-Surface Charge': 'Does Rm Electrical attack upon touching the Scarlet Centurion. ', 'Staff': 'Un material, Am Blunt attack, the Scarlet Centurion is able to perform the following power stunts:', '-Energy Attack': 'Am Energy, 5 areas ', '-Energy Absorbtion': 'By merely touch someone, Scarlet Centurion can absorb energies from a person or machine. He can absorb up to 300 points of energy for weapons systems, raising them to Mn for 1 round. He can absorb incoming attacks on a yellow feat or better (Un column)'}","{'Flight Disc': ""Scarlet Centurion's personal vehicle:"", '-Body': 'Un ', '-Speed': 'In ', '-Control': 'Un ', '-Protection': 'None'}","['All Martial Arts, Military Trainning, Weapons Master: (Staff), Marksmanship']",['Kang the Conqueror'],[''],{},0,0,0,0,0
2027,2027,Scourge,Nomad/Jack Monroe,,,,,Rm,Rm,Rm,In,Gd,Gd,Gd,130,30,Gd,,{},"{'Body Armor': 'Rm vs. Physical and Energy ', 'Holographic Projector': 'Gd Disguise ', '-Invisibility': 'Gd', 'Helmet': 'In resistance to blunt attacks to the head ', '-Unicorn Blaster': 'In Force, 5 areas ', 'Leg Coils': 'Rm leaping, 5 areas ', 'Pym Particles': 'Has weapons shrunk on his costume ', 'Gauntlets': 'RM material, able to call out any of the following weapons by activating them vocally and cybernetically through his gauntlets', '-Sword': 'In material, Rm Edge ', '-Staff': 'In material, In Blunt attack, has the following abilities:', '--Encrisma Sticks': 'may split in half to become Encrisma Sticks   ', '-Blinding Flash': 'Ex blinding from the end of the staff', '-Plant Control Ray': 'Rm', '-Ice Shrapnels': 'Ex Shooting, 5 areas'}",{'-Body': 'Am Speed'},"['All Martial Arts, Marksmanship, Swordsmanship, Hand-to-Hand Combat']",['None'],[''],{},0,0,0,0,0
2054,2054,Shang-Chi,,,,,,Am,Rm,Ex,Rm,Gd,Rm,Rm,130,70,Ex,,"{'Martial Arts Supremacy': 'Am', 'Ki-Powers': 'Shang-Chi has some knowledge of the manipulation of Ki, life-force, has developed at least one power stunt:', '-Grab Handled Weapons': 'Shang-Chi is able to grab handled blades out of the air and throw them back. This requires a successful Psyche FEAT for concentration and an Agility FEAT for maneuver'}",{},{},"['All Martial Arts, Thrown Weapons, Oriental Weapons, Oriental Philosophy, Detective/Espionage, Fishing']","['Agents of Atlas, Iron Fist, The Avengers']",[''],{},0,0,0,0,0
2098,2098,Silver Samurai,Kenuichio Harada,,,,,Rm,Ex,Ex,In,Gd,Ex,Ex,110,50,Gd,,{},"{'Body Armor': 'Ex protection vs. Physical and Energy ', 'Katana': 'Un Edge, it can also cut through Un materials in a single round ', 'Teleportation Ring': 'Rm ability to teleport up to three miles away'}",{},"['All Martial Arts, Samurai Training, Oriental Weapons, Swords, Thrown Weapons']","['Viper, Hydra']",[''],{},0,0,0,0,0
2146,2146,Snow Queen,,,,,,Rm,Am,Gd,Rm,Ty,Rm,Ex,120,56,Gd,5,"{'Fur': 'Pr protection vs. Physical and Energy, In resistance to Cold', 'Claws': 'In material, Ex Edge ', 'Heightened Senses': 'She can follow scent with Am ability. She has Rm hearing and can hear footsteps up to 3 areas away, No penalties in normal darkness.'}",{},{},"['Leadership, Acrobatics, All Martial Arts, Stealth, Tracking']","['High Evolutionary, Knights of Wundergore']",[''],{},0,0,0,0,0
2147,2147,Snowsnake,,,,,,Rm,Ex,Rm,In,Gd,Ex,Ex,120,50,Gd,,"{'Vampire Physiology': 'Snowsnake is a vampire, whose very body provides him with the following abilities:', '-Immortality': 'Snowsnake is considered to be Immortal, he does not age and is not affected by disease. He can be poisoned, though not killed by poison (ignoring all Kill results). Vampires cannot die by conventional means, only restrained. Vampires are not affected by Kill and Stun results from Physical attacks, only Slam results.', '-Animal Transformation': 'A vampire may change its shape into either a bat or wolf with Ex ability.', '-Animal Communication': 'Rm ability to communicate telepathically with any animal larger than an insect.', '-Hypnotism': ""Ex ability to mesmerize others, or even control their minds outright. Vampires can manipulate others' emotions, becoming dream lovers or terrifying nightmares. "", '-Heightened Senses': ""Snowsnake's senses are superhuman. All 5 senses are heightened to Rm levels."", '-Telepathy': ""Snowsnake may attempt to read a victim's mind. The vampire must be able to see the person to be scrutinized. Snowsnake makes a Psyche FEAT roll vs the target. Success allows the vampire to read the victim's thoughts."", '--Astral Projection': 'Snowsnake may project his spirit into the Astral plane with In ability travelling invisible and intangible.', '-Hyper Speed': 'Ty', '-Blending': 'Snowsnake may step into the shadows and and thereby shroud himself from sight with Am ability', '-Invisibility (Psychic)': 'Ex ability to psionically cause others not to see him, forcing others to simply ignore him.', '-Night Vision': 'Ex', '-Claws': 'Claws inflicting Strength +1cs damage', '--Wall-Crawling': 'In', '-Regeneration': 'Ex', '-Bite': 'A vampire bite does Ty damage per round by draining the blood from a victim. If the target has been drained of blood to Sh-0 Health then reinfused with vampiric blood from the ""parent"" vampire the target will return to life as a Vampire.', '-Blood': 'Vampire Blood has a high level of toxicity. Should Vampiric blood come into direct contact with a living being, it will inflict Fe Corrosive for 1 round. If it enters the blood stream of a non-vampire Fe damage for 1-10 rounds. In greater quantities the blood could also have an effect of turning the target into a vampire (Endurance FEAT to avoid). If the Endurance FEAT failed, follow your normal rules for possible vampiric conversion.'}","{'Body Armor': 'Ex protection vs. Physical and Energy ', 'Katana (x2)': 'In material, In Edge'}",{},"['All Martial Arts, Samurai Training, Oriental Weapons, Swords, Thrown Weapons']",['Legion of the Unliving'],"['Snowsnake must drink the blood of others to survive. Voluntary or involuntary deprivation of blood resultes in weakness -1cs on all stats and powers every two days until he feeds (or reach Sh-0 FASERIP scores and enter a state of Suspended Animation until he is exposed to blood) and causes a overwhelming desire for blood. Upon seeing blood, Snowsnake automatically attack if failing a Psyche FEAT', 'Driving a stake through the heart of Snowsnake will not kill him, however it will place him in a state of Suspended Animation.', 'Exposure to Direct Sunlight causes Snowsnake Rm damage. Reduction to zero health in this manner will reduce a vampire to dust.', 'Holy Symbols, Holy Water and Garlic will repel Snowsnake from the area until the item is removed.', 'Silver: Inflicts Fe damage on contact will the flesh. Silver causes vampire wounds to heal at approximately the same rate as normal humans and will leave scars and burns. Silver weaponry inflicts +1cs damage, Snowsnake is affected by Stun and Slam results from attacks by these weapon types (and in some cases, Kill Results could apply). ', 'Mirrors: Snowsnake does not reflect an image in mirrors, nor show up in photographic images or similar video mediums. Snowsnake must make a Psyche FEAT to avoid smashing a mirror.', 'Invitation: Vampires are bound from entering a dwelling unless freely invited by the owners or occupants of the residence. Snowsnake can then return whenever it wishes, until the invitation is revoked.', 'Running Water: Vampires cannot cross running or flowing water on their own volition such as in a brook, stream, river, and ocean. Snowsnake can crossover (by plane, train, ship, or bridge) running water if they are assisted, running water acts like a impenetrable barrier that they cannot pass. If Snowsnake is immersed in water it will drown, flowing water or really deep water, is best for this. If Snowsnake is brought out of the water, he will revive.', 'Permanent Destruction: A method of slaying a vampire that is known to ""Kill"" it forever: Piercing the heart and then beheading the vampire, burning the head and body in two separate pyres, then scattering the ashes over a large radius.', '', 'Talents: All Martial Arts, Samurai Training, Oriental Weapons, Swords, Thrown Weapons ', '', 'Contacts: Legion of the Unliving']",{},0,0,0,0,0
2229,2229,Commander Steve Rogers,,,,,,Am,Pr,Ty,Ty,Ex,In,Am,66,110,Rm,,{'Leadership': 'Rm ability to inspire others to follow him or his cause'},{},{},"['Military, Marksmanship, Guns, Weapon Specialist: (Shield), Leadership, All Martial Arts, Acrobatics, Tumbling, Weapons Master, Thrown Weapons, Thrown Objects, Sharp Weapons, Motorcycles, Stealth, Camouflage, Criminology, Interrogation, Negotiations, Detective/Espionage, Tracking, Survival, First Aid, Pilot, Wrestling, Artist, Multi-Lingual: (English, Russian, German, Japanese, Greek)']","['The Avengers, Nick Fury, Captain America/Steve Rogers, Sharon Carter, S.H.I.E.L.D., Any Former Avenger, U.S. Government, Uncanny Avengers']",[''],{},0,0,0,0,0
2315,2315,Temugin,,,,,,Rm,Rm,Rm,Rm,In,Gd,Gd,120,60,Ex,,{},"{""Mandarin's Ten Rings"": 'From left hand, little finger to right are', '-Ice Blast': 'Rm Cold, Endurance FEAT to adviod being stunned; 2 areas. ', '-Mento Intensifier': 'Rm Mind Control, 1 area. ', '-Electro-Blast': 'Rm Energy Blast, 3 areas ', '-Flame Blast': 'Rm Heat, 2 areas ', '-White Light': 'Rm Light or Radiation up to 5 areas away ', '-Matter Rearranger': 'Rm Matter Manipulation, but not Transmutation. This ring cannot work on Force Fields. ', '-Impact Beam': 'In Force, 2 areas ', '-Vortex Beam': 'Rm Air Control, permitting flight by the user at Ex speeds and other Power stunts. ', '-Disintegration': 'Mn disintegration, with no effect on living targets. 1 area, and requires 20 minutes to recharge after use. ', '-Black Light': 'Rm DarkForce, 2 areas '}",{},"['All Martial Arts, Poet, Acrobatics']",['Po'],[''],{},0,0,0,0,0
2323,2323,The Captain,Steve Rogers,,,,,Am,In,Rm,Rm,Ex,In,Am,150,110,Rm,,"{'Super-Soldier Physiology': 'As a result of his treatment with the Super-Soldier Formula and a stabilizing bath of Vita-Rays, Steve Rogers was elevated from a sickly skinny young man to the peak of human physical and mental perfection, giving him the following:', '-Rapid Healing': 'Ty', '-Self Recovery': 'Un', '-Resistance to Toxins and Disease': 'Un resistance to Disease and Toxins', '-Hyper-Running': 'Pr Running (2 areas/round) without tiring.', 'Leadership': 'Rm ability to inspire others to follow him or his cause'}","{'Body Armor': 'Ex protection vs. Heat and Cold, Gd protection vs. Edge, Ty protection vs. Blunt and Shooting', 'Shield': 'Un material, he can use it to block up to 90 damage from an attack, but he is still subject to Stuns and Slams. He can also throw it up to 3 areas for Rm damage and he can attack up to 3 people with a successful Agility FEAT (Mn) or 5 with a Yellow FEAT. By bouncing it of a number of hard surfaces, he can make the shield return to him the next round. It can do up to In Blunt when in his hands, and Rm Edge depending on how he chooses to strike with it.'}",{},"['Military, Marksmanship, Guns, Weapon Specialist: (Shield), Leadership, All Martial Arts, Acrobatics, Tumbling, Weapons Master, Thrown Weapons, Thrown Objects, Sharp Weapons, Motorcycles, Stealth, Camouflage, Criminology, Interrogation, Negotiations, Detective/Espionage, Tracking, Survival, First Aid, Pilot, Wrestling, Artist, Multi-Lingual: (English, Russian, German, Japanese, Greek)']","['The Avengers, Falcon, D-Man']",[''],{},0,0,0,0,0
2350,2350,Thundra,,,,,,Am,Ex,Am,Ex,Ty,Gd,Ty,140,22,Ex,,"{'Invulnerability to Physical attacks': 'Ty', 'Hyper-Leaping': 'Rm, 4 areas ', 'Hyper-Running': 'Ty ground speed, 3 areas/round'}",{},{},"['Weapon Master: (Chain), All Martial Arts, Politics, Military Leadership']",['Arkon'],[''],{},0,0,0,0,0
2545,2545,White Noise,,,,,,Ex,Rm,Ty,Rm,Ex,Gd,Rm,86,60,Mn,,"{'Sonic Generation': 'White Noise is able to produce hypersonic frequencies from her vocal chords. She can perform the following abilities:', '-Disruption': 'Un damage to non-living targets, Mn damage to a living target, In damage to an entire area. ', '-Vertigo': 'In ability to disorient and disable her opponents', '-Flight': 'Ty airspeed, provide thrust to propel her through the air.'}",{},{},"['All Martial Arts, Shi’ar Technology, Starships, Astro-Navigation']",['Shi’ar Imperial Guard'],[''],{},0,0,0,0,0
2548,2548,White Tiger,Angela Del Toro,,,,,Rm,Ex,Ex,Rm,Gd,Gd,Ex,100,40,Ty,,{},"{'Tiger Amulet': 'Under the influence of the the Tiger Amulet, Angela gains the following power stunts:', '-Alter Ego': ""White Tiger's physical stats are raised by +2cs to the level shown above."", 'Addiction to Tiger Amulet': ""If Angela is separated from the amulet for more than 24 hours, Angela's Endurance slips by -1cs per day until she reaches Fe, hen they return to normal at the rate of +1cs per day. If Angela can do without the amulet by that time, she is free from that addiction.""}",{},"['Law Enforcement, Guns, All Martial Arts']",['Daredevil'],[''],{},0,0,0,0,0
2550,2550,White Tiger,Ava Ayala,,,,,Rm,Ex,Ex,Rm,Ty,Ty,Ex,100,32,Ty,,{},"{'Tiger Amulet': 'Under the influence of the the Tiger Amulet, Ava gains the following power stunts:', '-Alter Ego': ""White Tiger's physical stats are raised by +2cs to the level shown above.""}",{},"['All Martial Arts, Acrobatics']",['Avengers Academy'],[''],{},0,0,0,0,0
2576,2576,Wolverine,Logan (James Howlett),,,,,In,Rm,Gd,Rm,Gd,Mn,In,110,125,Ex,,"{'Adamantium Skeleton': ""Wolverine's skeleton has been laced with Adamantium, giving them CL1000 material. This provides the following benefits:"", 'Claws': 'CL1000 material, Wolverine can extend his retractable claws, causing up to Mn Edge', 'Animal Empathy': 'Am ability with mammalian carnivores', 'Heightened Senses': 'Mn Smell, In Hearing', 'Tracking': 'Am', 'Regeneration': 'Am. Regains 10 Health/hour or 1 point every six minutes', 'Resistance to Poison, Gases, Drugs and Disease': 'Un', 'Recovery': 'Un   ', 'Berserker Rage': 'Though less in evidence these days than in the past, Wolverine still flies into a rage, losing Karma and ""going berserk."" Wolverine must make a Yellow Psyche FEAT must be made to come out of it. While it may be bad, he gains the following power stunts:', '-Mental Resistance': 'Un resistance to mind control and other mental attacks.'}","{'X-Men Uniform': 'Rm material, the Uniforms are constructed out of unstable molecule fabric. It provides him with the following:', '-Body Armor': 'Ex protection vs. Physical and Energy', '-Insulated': 'Gd protection vs. Heat and Cold', '-Comlink': '250 mile range and a GPS tracking device built into it', '-Detection Scrambler': 'Am protection vs. Electronic Mutant Detection'}",{},"['Guns, Thrown Weapons, Edged Weapons, Oriental Weapons Master, Weapon Specialist: (Claws), All Martial Arts,  Wrestling, Acrobatics, Tumbling, Military, Detective/Espionage, Criminology, Resist Domination, Escape Artist, Motorcycle, Streetwise, Survival, Multi-Lingual: (English, Japanese, Russian)']",['X-Men'],[''],{},0,0,0,0,0
2578,2578,Wolverine,Tomi Shishido,,,,,Am,In,In,Am,In,Rm,Am,180,120,Rm,,"{'Petrifying Vision': 'Gorgon can turn any human beings into a statue by making eye contact. They will have In strength material. It is unknown if it is permanent or not', 'Telepathy': 'Am', 'Regeration': 'Am, 5 points/round ', 'Recovery': 'Un ', 'Resist Poisons': 'Un', 'Hyper-Speed': 'Rm'}","{'Claw Gauntlets': ""Un material, To emulate Wolverine's claws, Shishido wears a pair of gauntlets that have three retractable claws. They do up to Mn Edge "", 'Katana Sword': 'In material, In Edge'}",{},"['Ninja, Stealth, Swordsman, Leadership, Guns, Thrown Weapons, Sharp Weapons, Oriental Weapons, All Martial Arts, Tumbling, Multi-Lingual: (English, Japanese, Russian)']","['Dark Avengers, Hydra, The Hand']",[''],{},0,0,0,0,0
2579,2579,Wolverine,Logan (James Howlett),,,,,In,Rm,Gd,Rm,Gd,Mn,In,110,125,Ex,,"{'Adamantium Skeleton': ""Wolverine's skeleton has been laced with Adamantium, giving them CL1000 material. This provides the following benefits:"", 'Claws': 'CL1000 material, Wolverine can extend his retractable claws, causing up to Mn Edge', 'Animal Empathy': 'Am ability with mammalian carnivores', 'Heightened Senses': 'Mn Smell, In Hearing', 'Tracking': 'Am', 'Berserker Rage': 'Though less in evidence these days than in the past, Wolverine still flies into a rage, losing Karma and ""going berserk."" Wolverine must make a Yellow Psyche FEAT must be made to come out of it. While it may be bad, he gains the following power stunts:', '-Mental Resistance': 'Un resistance to mind control and other mental attacks.'}","{'Ablation Armor': 'Due to the recent (and most likely permanent) loss of his healing factor, Wolverine has now donned an armor that gives him the following abilities:', '-Body Armor': 'Am protection vs. Physical and Energy', '-Claws': 'Un material, The armor also possesses three retractible claws in each wrist. They cause up to Mn Edge'}",{},"['Guns, Thrown Weapons, Edged Weapons, Oriental Weapons Master, Weapon Specialist: (Claws), All Martial Arts,  Wrestling, Acrobatics, Tumbling, Military, Detective/Espionage, Criminology, Resist Domination, Escape Artist, Motorcycle, Streetwise, Survival, Multi-Lingual: (English, Japanese, Russian)']","['X-Men, The Avengers, Alpha Flight']",[''],{},0,0,0,0,0
2581,2581,Wolverine,Logan (James Howlett),,,,,In,Rm,Ex,Rm,Ty,Am,Rm,120,86,Ex,,"{'Claws': 'In material, Wolverine can extend his retractable claws, causing up to In Edge', 'Animal Empathy': 'Am ability with mammalian carnivores', 'Heightened Senses': 'Mn Smell, In Hearing', 'Tracking': 'Am', 'Regeneration': 'Am. Regains 10 Health/hour or 1 point every six minutes', 'Resistance to Poison, Gases, Drugs and Disease': 'Un', 'Recovery': 'Un   ', 'Berserker Rage': 'After having his Adamantium restored, Wolverine became more feral and can easily fly into a rage, losing Karma and “going berserk.” Wolverine must make a Yellow Psyche FEAT must be made to come out of it. While it may be bad, he gains the following power stunts:', '-Mental Resistance': 'Un resistance to mind control and other mental attacks.'}",{},{},"['Survival, Tracking, All Martial Arts']",['X-Men'],[''],{},0,0,0,0,0
2582,2582,Wolverine,Logan (James Howlett),,,,,In,Rm,Gd,Rm,Gd,Mn,In,110,125,Ex,,"{'Adamantium Skeleton': ""Wolverine's skeleton has been laced with Adamantium, giving them CL1000 material. This provides the following benefits:"", 'Claws': 'CL1000 material, Wolverine can extend his retractable claws, causing up to Mn Edge', 'Animal Empathy': 'Am ability with mammalian carnivores', 'Heightened Senses': 'Mn Smell, In Hearing', 'Tracking': 'Am', 'Regeneration': 'Am. Regains 10 Health/hour or 1 point every six minutes', 'Resistance to Poison, Gases, Drugs and Disease': 'Un', 'Recovery': 'Un   ', 'Berserker Rage': 'Though less in evidence these days than in the past, Wolverine still flies into a rage, losing Karma and ""going berserk."" Wolverine must make a Yellow Psyche FEAT must be made to come out of it. While it may be bad, he gains the following power stunts:', '-Mental Resistance': 'Un resistance to mind control and other mental attacks.', '-Heated Claws': ""Tied to his rage, Wolverine's claws will heat up, dealing Heat damage as well with Edge when activated.""}","{'X-Men Uniform': 'Rm material, the Uniforms are constructed out of unstable molecule fabric. It provides him with the following:', '-Body Armor': 'Ex protection vs. Physical and Energy', '-Insulated': 'Gd protection vs. Heat and Cold', '-Comlink': '250 mile range and a GPS tracking device built into it', '-Detection Scrambler': 'Am protection vs. Electronic Mutant Detection', 'Muramasa Blade': 'CL1000 material, The Muramasa Blade was forged by Muramasa for Wolverine. It is capable of the following:', '-Edged Attack': 'Up to Mn Edge, it ignores body armor and is able to cut through Adamantium', '-Healing Factor Nullification': 'If someone with regenerative abilities cut by the Muramasa Blade, the abilities will not work until a few days later'}",{},"['Guns, Thrown Weapons, Edged Weapons, Oriental Weapons Master, Weapon Specialist: (Claws), All Martial Arts,  Wrestling, Acrobatics, Tumbling, Military, Detective/Espionage, Criminology, Resist Domination, Escape Artist, Motorcycle, Streetwise, Survival, Multi-Lingual: (English, Japanese, Russian)']","['X-Men, Cyclops']",[''],{},0,0,0,0,0
2606,2606,Xenith,,,,,,Mn,Am,Un,Un,In,Mn,In,325,155,Mn,,"{'Strontian Physiology': 'Xenith is a Strontian, whose very body gives her the following abilities', '-Invulnerability': 'Un protection vs. Physical and Energy, Sh-Z protection vs. Heat, Cold, Gas, Disease and Radiation', '-Self-Sustenance': 'Doesn’t need to eat, sleep or breathe, able to survive in the vacuum of space', '-Hyper-Speed': 'Xenith possesses Un rank superhuman reflexes. She can perform the following power stunts', '-Enhanced Senses': ""Xenith's senses are as listed"", '--Hypersensitive Hearing': 'Mn ', '--Hypersensitive Olfactory': 'Mn ', '--Telescopic Vision': 'Un ', '-Hyper-Intake/Expulsion': 'Un ', '-Flight': 'Sh-Z airspeed, CL5000 in space', '-Psychic Reflection': 'Automatic reflection of any psionic attack at –1cs; a Yellow Psychic FEAT by attacker stops the attack at its inception', '-Heat Vision': 'Mn Energy, 10 areas'}",{},{},"['All Martial Arts, Shi’ar Technology, Starships, Astro-Navigation']",['Shi’ar Imperial Guard'],"['Any loss of self-faith drops all powers –2cs and abilities –3cs. At the judge’s discretion, a Red Psyche FEAT is needed to retain her confidence and powers.', '', 'Talents: All Martial Arts, Shi’ar Technology, Starships, Astro-Navigation', '', 'Contacts: Shi’ar Imperial Guard']",{},0,0,0,0,0
2618,2618,Yukio,,,,,,In,Rm,Ty,Ex,Gd,Rm,Ex,96,60,Gd,,{},{},{},"['All Martial Arts, Thrown Weapons, Oriental Weapons, Stalk & Hide, Detective/Espionage, Tumbling, Acrobatics, Lockpicking, Knives']","['Wolverine, Mutant Underground']",[''],{},0,0,0,0,0
