Accounting,Accounting
Acrobatics,Acrobatics
Acrobatics.,Acrobatics
and Acrobatics,Acrobatics
Acrobatics Stealth,Acrobatics;Stealth
Acting,Acting
Actor,Acting
Actress,Acting
Performing Acting,Acting
Administration,Administration
Advertising,Advertising
Aerial Combat,Aerial Combat
Aerial Combat ,Aerial Combat 
Aerial Combat +1cs to Fighting and Agility,Aerial Combat 
Aerialists,Aerial Combat 
Airborne Combat ,Aerial Combat 
Alchemy,Alchemy
Alien Technologies,Alien Technology
Alien Technology,Alien Technology
Atlantean Technology,Alien Technology
Attilan technology,Alien Technology
Devices of ancient races ,Alien Technology
Interstellar Technology,Alien Technology
All Martial Arts,All Martial Arts
he posseses all their fighting and agility based skills. He has all martial arts,All Martial Arts
All Combat Skills,All Martial Arts;Weapons Master
American Football,American Football
American History,American History
Anatomy,Anatomy
Ancient Egyptian,Ancient Egyptian
Ancient Greek Lore,Ancient Greek Lore
and Multilingual. Death's Head also has timeline predictions for every planet that was know to AIM of 2020.,and Multilingual. Death's Head also has timeline predictions for every planet that was know to AIM of 2020.
and other Japanese weapons,and other Japanese weapons
Android Creation,Android Creation
Animal Handling,Animal Handling
Animal Medicine,Animal Medicine
Animal Trainer,Animal Trainer
Animal Training,Animal Training
Apache,Apache
Arabic,Arabic
Archaeology,Archaeology
Archelogy,Archaeology
Archeology,Archaeology
Architect,Architect
Architecture,Architect
Architecture.,Architect
Armenian,Armenian
Armor ,Armor 
Art,Art
Art Appreciation,Art
Art History,Art
Artist,Art
Artist ,Art
Arthurian History,Arthurian History
Artillery,Artillery
as being imitated,as being imitated
Asgard Lore,Asgard Lore
Asgard Trivia,Asgard Lore
Asgardian,Asgard Lore
Asgardian Background and Lore,Asgard Lore
Asgardian History,Asgard Lore
Asgardian Lore,Asgard Lore
Asgardian Mythology,Asgard Lore
Asgardian Trivia,Asgard Lore
Astrology,Astrology
Astronaut,Astronavigation
Astro-Navigation,Astronavigation
Astro-Navigation.,Astronavigation
Astronavigation,Astronavigation
Space Exploration,Astronavigation
Space Navigation,Astronavigation
and Astronomer,Astronomy
Astronomy,Astronomy
Astronomy ,Astronomy 
Astrophysicist,Astrophysics
Astrophysics,Astrophysics
Athletics,Athletics
Atlantean,Atlantean
Atlantean Equipment,Atlantean
Atlantean Lore,Atlantean
Atleantean Sciences,Atlantean
Atlantean Sciences,Atlantean
Automotive Repair and Maintenance,Automotive
Baseball,Baseball
Basketball,Basketball
Berber,Berber
Biblical Studies,Biblical Studies
Bibliophile,Bibliophile
Bi-Lingual,Bilingual
Bi-lingual,Bilingual
Bi-Lingual ,Bilingual
Bi-Lingual English,Bilingual
Bi-Lingual French,Bilingual
Bi-Lingual Japanese,Bilingual
Bi-Lingual:,Bilingual
Bilingual ,Bilingual
Bilingual English,Bilingual
bilingual English,Bilingual
Russian and Japanese,Bilingual
Billards,Billiards
Billiards,Billiards
Bio-Chemistry,Biochemistry
Biochemistry,Biochemistry
Salis has Ex reason and was a biochemist,Biochemistry
Bio-Engineering,Bioengineering
Bioengineering,Bioengineering
Bio-Genetics,Bioengineering
Biology,Biology
Bionics,Bionics
Biophysics,Biophysics
Biotechnology,Biotechnology
Blending,Blending
Blunt Weapons,Blunt Weapons
Blunt weapons,Blunt Weapons
Blunt and Thrown Weapons,Blunt Weapons;Thrown Weapons
Botony,Botany
Bowling,Bowling
Braile,Braille
Braille,Braille
Brain Surgeon,Brain Surgeon
Breakworld Lore and Technology,Breakworld Lore and Technology
British Folklore and History,British Folklore and History
Brood are very inteligent and individuals retain skills and powers that were used by their egg hosts.,Brood are very inteligent and individuals retain skills and powers that were used by their egg hosts.
Bureaucracies,Bureaucracy
Bureaucracy,Bureaucracy
Before enhancing his intelligence Lobe had the Business/Finance and possibly some scientific knowledge.,Business/Finance
Buisiness/Finance,Business/Finance
Business,Business/Finance
Business Finance,Business/Finance
Business/ Finance,Business/Finance
Business/Fianance,Business/Finance
Business/Fiance,Business/Finance
Business/Finance,Business/Finance
Finance,Business/Finance
Talents:Business/Finance,Business/Finance
Business/Finance ,Business/Finance 
Business/Finances,Business/Finances
Bussiness/Finance,Bussiness/Finance
but can gain scientific and knowledge of victim,but can gain scientific and knowledge of victim
Butler,Butler
Cameraman,Cameraman
Camouflage,Camouflage
Cantonese,Cantonese
Casino Operator,Casino Operator
Cetology,Cetology
+1cs to charging attacks,Charging
Charisma,Charisma
Chemical Engineering,Chemical Engineering
Chemistry,Chemistry
"Chemistry,",Chemistry
Chess,Chess
Cheyenne,Cheyenne
Chicld Care,Child Care
Children,Child Care
Chinese,Chinese
Cinematography,Cinematography
Classic Literature,Classic Literature
Classical Greek culture,Classical Greek culture
Climbing,Climbing
Climbing.,Climbing
Cloning,Cloning
Code Breaking,Code Breaking
Comanche and Zeewazi Culture and Folklore,Comanche and Zeewazi Culture and Folklore
Comedian,Comedian
Communications,Communications
Computer,Computer
Computer Design,Computer
Computer Engineering,Computer
Computer Hardware Design,Computer
Computer Programming,Computer
Computer Programming and Artificial Intelligences ,Computer
Computer Science,Computer
Computers,Computer
COmputers,Computer
Comupters,Computer
Programming and Countermeasures,Computer
Software Design,Computer
Construction,Construction
Cooking,Cooking
Cookings,Cooking
Cosmetics,Cosmetics
Crime,Crime
Criminal,Crime
Criminal Skills,Crime
General Thieving,Crime
Petty Crime,Crime
Petty Criminal,Crime
petty criminal,Crime
Petty Criminal skills,Crime
Petty criminal skills,Crime
Pick Pockets,Crime
Pick-Pocket,Crime
Thief,Crime
Thievery,Crime
Thieving,Crime
Criminal Justice,Criminology
Criminology,Criminology
Criminology.,Criminology
Cryptozoology,Cryptozoology
Current Events ,Current Events 
Cybernetics,Cybernetics
Cyborg-Engineering,Cyborg-Engineering
Disco Dance,Dance
Dancing,Dancing
Danger has an extensive knowledge of several skills,Danger has an extensive knowledge of several skills
Daredevil,Daredevil
Dark Elf History and Lore,Dark Elf History and Lore
Deadpool and probably more,Deadpool and probably more
Lore of Death,Death
Death Lore,Death
Death's Head II possesses all the skills of 105 people on a list compiled by AIM in the year 2020 of the most dangerous,Death's Head II possesses all the skills of 105 people on a list compiled by AIM in the year 2020 of the most dangerous
Deep Sea Diving,Deep Sea Diving
Defense and Armament design,Defense and Armament design
Demolition,Demolition
Demolitions,Demolition
Demon History and Lore,Demonology
Demonologist,Demonology
Demonology,Demonology
Depends on user,Depends on user
Detective,Detective/Espionage
Detective/ Espionage,Detective/Espionage
detective/espionage or law enforcement.,Detective/Espionage
Detective/Espionage,Detective/Espionage
Espionage,Detective/Espionage
Espionage/Detective,Detective/Espionage
Deviant Technology,Deviant Technology
Dimensional Geography,Dimensional Travel
Dimensional Travel,Dimensional Travel
Disguise,Disguise/Actor
Disguise/Actor,Disguise/Actor
Dodging,Dodging
Driver,Driving
Driving,Driving
Race Car Driver,Driving
Race Car Driving,Driving
Dutch,Dutch
Economics,Economics
Economy,Economics
Education,Education
Egyptian,Egyptian
El Aguila,El Aguila
Electronics,Electronics
"Electronics,Leadership",Electronics;Leadership
Encryption,Encryption
Encyclopedic Researcher,Encyclopedic Researcher
Energy Research,Energy Research
Electrical Engineering,Engineering
Engineer,Engineering
Engineering,Engineering
engineering,Engineering
Engineiring,Engineering
Enginering,Engineering
Mechanical Engineering,Engineering
Mechanical Engineering and Design,Engineering
English,English
Entomology,Entomology
Entomology ,Entomology 
Environmental Science,Environmental Science
Equestrian,Equestrian
etc.,etc.
Ethnobotony,Ethnobotany
Ex Nihilo,Ex Nihilo
Explosives,Explosives
Explosives ,Explosives 
Farming,Farming
Fashion,Fashion
Fashion Design,Fashion
Feudal Japan,Feudal Japan
Filipino,Filipino
Films,Films
First Aid,First Aid
First Aid.,First Aid
First Air,First Aid
First-Aid,First Aid
Fishing,Fishing
Fitness,Fitness
Flemish,Flemish
Flight Instructor,Flight Instructor
Forensics,Forensics
French,French
Future Technology,Future Technology
Gaelic,Gaelic
Gambling,Gambling
Gambling Odds,Gambling
Games,Games
Gardener Technology,Gardener Technology
Gardening,Gardening
Genetic,Genetic Engineering
Genetic Engineering,Genetic Engineering
Genetic Manipulation,Genetic Engineering
Genetic Engineering ,Genetic Engineering 
Genetics,Genetics
genetics,Genetics
+3CS reason in the fields of Genetics and Engineering.,Genetics;Engineering
Her knowledge of Florida geography is Ex.,Geography
Geology,Geology
Spatial Geometry,Geometry
Geophysics,Geophysics
German,German
Greek,Greek
Grenades,Grenades
Guitar,Guitar
Firearms,Guns
Gun,Guns
Guns,Guns
Handguns,Guns
Guns Acrobatics,Guns;Acrobatics
Gynastics,Gymnastics
Harmonica,Harmonica
Hausa,Hausa
Hawkeye,Hawkeye
he can probably do it or can refer to something that tells him how to do it.,he can probably do it or can refer to something that tells him how to do it.
Hebrew,Hebrew
Heir to a fortune,Heir to Fortune
Heir to Fortune,Heir to Fortune
Heiress to Fortune,Heir to Fortune
Herpetology ,Herpetology 
Heven History and Lore,Heven History and Lore
Heven Lore,Heven History and Lore
High-Jumper,High-Jumper
Hindi,Hindi
History,History
History and Lore,History
History and Lore.,History
History and Trivia,History
History/Culture,History
Lore and History,History
Holography,Holography
Holography ,Holography 
Horsemanship,Horsemanship
Horsemanship  Archaeology,Horsemanship;Archaeology
Horticulture,Horticulture
Household Chores,Household Chores
Housekeeping,Housekeeping
House-Keeping,House-Keeping
Housekeeping ,Housekeeping 
Hypnosis,Hypnosis
Hypnotism,Hypnosis
Mesmerism,Hypnosis
Mesmerism and Hypnosis,Hypnosis
Ice Skating,Ice Skating
Ice-Skating,Ice Skating
Ichthyology,Ichthyology
Illusions,Illusions
Imperial Guard,Imperial Guard
including,including
including Skrull,including Skrull
Indian History,Indian History
Indian Lore.,Indian History
Instructor,Instructor
Instructor ,Instructor 
Insurance,Insurance
intelligent,intelligent
Interogation,Interrogation
Interrogation,Interrogation
Intimidation,Interrogation
Intimidation/Interrogation,Interrogation
Invention,Invention
Iron Fist,Iron Fist
Italian,Italian
Japanese,Japanese
Japanese and Esperanto,Japanese;Esperanto
Jetpacks,Jetpacks
Jornalism,Jornalism
Journalism,Journalism
Juggling,Juggling
Kalahian Technology and Sciences,Kalahian Technology and Sciences
Kenyan,Kenyan
Kit Bashing,Kit Bashing
Kit bashing,Kit Bashing
Kit-Bashing,Kit Bashing
Knitting,Knitting
Kokani,Kokani
Korean,Korean
Kree,Kree
Kree Physiology,Kree
Kree Science,Kree
Kree Technology,Kree
Kree Weaponry,Kree
K'un L'un,K'un L'un
Lab Assistant,Lab Assistant
Laser Technology,Laser Technology
Lasso,Lasso
Latin,Latin
Law,Law
Law ,Law 
Lawyer,Law 
Lae Enforcement,Law Enforcement
Law Enforcement,Law Enforcement
Law-Enforcement,Law Enforcement
Police Trainning,Law Enforcement
Law Martial Arts B,Law Enforcement;Martial Arts B
Leaderhship,Leadership
Leadership,Leadership
Leadership  as being imitated,Leadership
Leadership.,Leadership
Lemurian,Lemurian
Life Sciences ,Life Sciences 
Life Support,Life Support
Languages,Linguist
Able to comprehend most human languages,Linguist
Linguistic,Linguist
Multi-Lingual,Linguist
Multi-lingual,Linguist
Multi-Lingual English,Linguist
other alien languages,Linguist
plus 6 more unrevealed languages,Linguist
Russian and more,Linguist
Several Alien Languages,Linguist
Literature,Literature
Lock Picking,Lockpicking
Lock-Picking,Lockpicking
Lockpicking,Lockpicking
Mandarin,Mandarin
Mandarin Chinese,Mandarin
Manipulation,Manipulation
Marketing,Marketing
Marksman,Marksman
Marksmanship,Marksman
Markswoman,Marksman
Marskmanship,Marksman
Burst is a master of Kung Fu and has Martial Arts A,Martial Arts A
Hand-to-Hand Combat,Martial Arts A
Howard can Slam or Stun larger opponents,Martial Arts A
Marial Arts A,Martial Arts A
Quack Fu Ex rank,Martial Arts A
Self-Defense,Martial Arts A
Martial Art A,Martial Arts A 
Martial Arts,Martial Arts A 
Martial Arts A,Martial Arts A 
Martial arts A,Martial Arts A 
Martial Arts A ,Martial Arts A 
"Martial Arts A,B",Martial Arts A;Martial Arts B
"Martial Arts A,B,C,E",Martial Arts A;Martial Arts B;Martial Arts C;Martial Arts E
"Martial Arts A,B,E",Martial Arts A;Martial Arts B;Martial Arts E
"Martial Arts A,D,E",Martial Arts A;Martial Arts D;Martial Arts E
Martial Arts A and E,Martial Arts A;Martial Arts E
B,Martial Arts B
Barroom Brawl,Martial Arts B
Boxing,Martial Arts B
Brawling,Martial Arts B
Martial Art B,Martial Arts B
Martial Arts B,Martial Arts B
"Martial Arts B,",Martial Arts B
Martial Arts B. The cybernetically enhanced mercenaries also have Martial Arts A and C,Martial Arts B;Martial Arts C;Martial Arts E
C,Martial Arts C
C;  None,Martial Arts C
Escape Artist,Martial Arts C
Escape Techniques,Martial Arts C
Escapology,Martial Arts C
Martial Arts C,Martial Arts C
plus +1cs to hit with Grappling attacks,Martial Arts C
Wrestling,Martial Arts C
Grapple Marksman,Martial Arts C;Marksman
C and E,Martial Arts C;Martial Arts E
D,Martial Arts D
Martial Arts D,Martial Arts D
D & E,Martial Arts D;Martial Arts E
D and E as well as Acrobatics. He may speak Chinese as well as English.,Martial Arts D;Martial Arts E;Acrobatics;Bilingual
1 Initiative while engaging airborne opponents mid-leap,Martial Arts E
+1cs to Initiative,Martial Arts E
E,Martial Arts E
"E,",Martial Arts E
Escrima Martial Arts E,Martial Arts E
Fast Draw,Martial Arts E
Martial Arts E,Martial Arts E
Mathematician,Mathematics
Mathematics,Mathematics
Mechanical Design,Mechanical Design
Mechanic,Mechanics
Mechanical Repair,Mechanics
Mechanics,Mechanics
Mechanics and Weapons Systems.,Mechanics;Weapons Systems
Medic,Medicine
Medical,Medicine
Medical ,Medicine
Medicine,Medicine
Medicine ,Medicine
In Reason in Medicine and Genetics ,Medicine;Genetics
Meditation,Meditation
Metallurgy,Metallurgy
Metalurgy,Metalurgy
Metaphysics,Metaphysics
Microwave Radiation,Microwave Radiation
Military,Military
Military Background,Military
Military Command,Military
Military Leadership,Military
Military Strategist,Military
Military Strategy,Military
Military Tactician,Military
Military Tactics,Military
Military Training,Military
Military Trainning,Military
Mining,Mining
Model,Modelling
Modeling,Modelling
Modelling,Modelling
Monster Training,Monster Training
most likely more.,most likely more.
Motorcycle,Motorcycle
Motorcycles,Motorcycle
Music,Music
Mystic Backgroud,Mystic Backgroud
Mystic Background,Mystic Backgroud
Mystic Background and Lore,Mystic Backgroud
Mystic Lore,Mystic Backgroud
Mystic Origin,Mystic Backgroud
Mystic Training,Mystic Backgroud
Mystic/Occult Lore,Mystic Backgroud
Mystical Background,Mystic Backgroud
Mystical Background.,Mystic Backgroud
Mystical Lore,Mystic Backgroud
Mystical Lore and Background,Mystic Backgroud
Mysticism,Mystic Backgroud
Occult,Mystic Backgroud
Occult and Mythological Lore,Mystic Backgroud
Occult Background,Mystic Backgroud
Occult Background and Lore,Mystic Backgroud
Occult Lore,Mystic Backgroud
Occult lore,Mystic Backgroud
Occult Lore ,Mystic Backgroud
Occult Lore and Background,Mystic Backgroud
Occult Lore Hela has vast knowledge of Death,Mystic Backgroud
Sorcery,Mystic Backgroud
Aboriginal Lore and Magical Traditions,Mystic Background
Dimensional and Universal magical phenomena,Mystic Background
Identify any Magical Artifact with Am ease,Mystic Background
Mythological Lore,Mythology
Mythology,Mythology
Nanotechnology,Nanotechnology
natural sciences,Natural Sciences
Navajo Indian Lore,Navajo Indian Lore
Navigation,Navigation
Negotiation,Negotiation
Negotiations,Negotiation
Neuropsychiatry,Neuropsychiatry
New York City Underground Tunnels,New York City Underground Tunnels
Man-Thing has no talents.,None
None,None
None revealed,None
Not Applicable,None
Talents:,None
Nuclear Physics,Nuclear Physics
"Nuclear Physics,",Nuclear Physics
Ocean Geography,Oceanography
Ocean Life,Oceanography
Oceanography,Oceanography
Undersea life,Oceanography
Undersea Life,Oceanography
Olympian Lore and Mythology,Olympians
Olympians,Olympians
Online Gaming,Online Gaming
Optics,Optics
or useful people throughout history. He has access to a multitude of talents,or useful people throughout history. He has access to a multitude of talents
Oriental Philosophy,Oriental Philosophy
Painting,Painting
Performance,Performer
Performer,Performer
Performer.,Performer
Performing,Performer
Show Business,Performer
Singer,Performer
Singing,Performer
Persuasion,Persuasion
Philosopher,Philosophy
Philosophy,Philosophy
philosophy,Philosophy
Photographic Memory,Photographic Memory
Photography,Photography
Photography.,Photography
None  Physics,Physics
Physics,Physics
physics,Physics
Human and Mutant Physiology,Physiology
Pilot,Pilot
Pilot ,Pilot
"Pilot,",Pilot
Piloting,Pilot
Piloting ,Pilot
Space Pilot,Pilot
Space-Pilot,Pilot
Spacecraft Pilot,Pilot
Plodex Technology,Plodex Technology
Pneumatics,Pneumatics
Poet,Poetry
Poetry,Poetry
Poisons,Poisons
Toxins,Poisons
Polish,Polish
Politcs.,Politics
Politics,Politics
politics,Politics
Portugese,Portuguese
Portuguese,Portuguese
possible others,possible others
Postal Sorting,Postal Sorting
Pounders,Pounders
Problem Solving,Problem Solving
Rm Knowledge of Psionic Powers and their Effects,Psionics
Psychiatry,Psychiatry
Psychology,Psychology
Public Relations,Public Relations
Public Relations ,Public Relations
Oratory,Public Speaking
Public Speaking,Public Speaking
Skilled Orator,Public speaking
Punisher,Punisher
Pyrotechnics,Pyrotechnics
Quantum Theory,Quantum Theory
Radiation,Radiation
Radiation research,Radiation
Radiology,Radiology
Rapid Language Learning skills,Rapid Language Learning skills
Relgion,Religion
Religion,Religion
Religion ,Religion
Repair,Repair
Repair Tinker,Repair/Thinkering
Repair-Tinkering,Repair/Thinkering
Repair/ Tinkering,Repair/Thinkering
Repair/Thinkering,Repair/Thinkering
Repair/Tinker,Repair/Thinkering
Repair/Tinkering,Repair/Thinkering
Repair/Tinkering ,Repair/Thinkering
Reporting,Reporting
Resist Domination,Resist Domination
"Resist Domination,",Resist Domination
Resist Domination.,Resist Domination
Riddle and Puzzle Trivia,Riddle and Puzzle Trivia
Moon-Boy can ride Devil with Am ability,Riding
Mount,Riding
Mount ,Riding
Riding ,Riding 
Riding land-based creatures,Riding 
Robotic Science,Robotics
Robotics,Robotics
Rocketry,Rocketry
Roller-Skating,Roller-Skating
Runesmith,Runesmith
Russian,Russian
Russian;  Detective/Espionage,Russian; Detective/Espionage
Safecracking,Safecracking
Sailing,Sailing
Samurai Training,Samurai
Samurai Trainning,Samurai
Savage Land,Savage Land
Scholar,Scholar
Scholarship,Scholar
1 Scientific Skill,Science
all Scientific and Mental skills,Science
All Scientific and Professional Skills,Science
All Scientific Skills,Science
All Scientific Talents,Science
any one scientific,Science
Scientist,Science
Other Scientific fields,Scientist
Scythe,Scythe
Seamanship,Seamanship
Security Operations,Security
Security Systems,Security
Seduction,Seduction
Edge Weapons,Sharp Weapons
Edged Weapons,Sharp Weapons
Sharp Weapons,Sharp Weapons
Sharp Weapons.,Sharp Weapons
she can create new superpowers in metahumans or create new Altered Humans.,she can create new superpowers in metahumans or create new Altered Humans.
Shi'ar,Shi'ar
Shi'ar technology,Shi'ar
Shi'ar Technology,Shi'ar
Shi-ar Technology,Shi'ar
Shi’ar Technology,Shi'ar
Ship Repair,Ship Repair
Sinhala,Sinhala
Skateboarding,Skateboarding
Skating,Skating
Skiing,Skiing
Skills are limited to whatever programs Reed feeds into him,Skills are limited to whatever programs Reed feeds into him
Skrull Technology,Skrull Technology
Skrull Technology and Lore,Skrull Technology
Skrull Weaponry,Skrull Technology
Skrullian,Skrull Technology
Slave-Trading,Slave-Trading
Sleight of Hand,Sleight of Hand
Soccer,Soccer
Sociology,Sociology
Sonics,Sonics
Sound-related Sciences,Sound
Spacecraft Design,Space Technology
Spacecraft Technolgy,Space Technology
Spacecraft Technology,Space Technology
Spanish,Spanish
Special Effects,Special Effects
Specialist,Specialist
specializing in Radiation,specializing in Radiation
Spelunking,Spelunking
Spider-Man,Spider-Man
Any sports,Sport
Sports ,Sport
Staff,Staff
Star Wars,Star Wars
Starship Captain,Starships
Starships,Starships
Stealth,Stealth
Stellar History,Stellar History
Stone Etching,Stone Etching
Strategist,Strategy
Strategy,Strategy
Streetwise,Streetwise
Student,Student
Students,Student
Stuntwork,Stuntwork
Sub-Atomic particles,Sub-Atomic particles
Subterranean Geography,Subterranean Geography
Subterranean Geography and Geology,Subterranean Geography
Superhuman Physiology,Superhuman Physiology
Super-Villains,Super-Villains
Surfing,Surfing
Surgery,Surgery
Surveillance,Surveillance
Jungle Survival,Survival
Survival,Survival
Survival.,Survival
Swahili,Swahili
Swedish,Swedish
Swimming,Swimming
Master Tactician,Tactician
Tactician,Tactics
Tactics,Tactics
Tamil,Tamil
Tap Dancing,Tap Dancing
Taskmaster has studied Captain America,Taskmaster has studied Captain America
Tattoo Artist,Tattoo Artist
Taunting,Taunting
Teacher,Teacher
Technician,Technician
Applied Technology,Technology
High-Tech Criminal Technology,Technology
Technology,Technology
Television Events,Television Events
Temporal Physics,Temporal Physics
Terraforming,Terraforming
Thai,Thai
The Avengers,The Avengers
Theology,Theology
Theoretical and Applied Ultrasonics,Theoretical and Applied Ultrasonics
This will vary according to the wearer. The talents will usually be military,This will vary according to the wearer. The talents will usually be military
Throwing Weapons,Thrown Weapons
Thrown Objects,Thrown Weapons
Thrown Weapons,Thrown Weapons
Thrown Weapons ,Thrown Weapons 
Thrown and Blunt Weapons,Thrown Weapons;Blunt Weapons
Tibet,Tibet
Tibetian,Tibet
Tigra,Tigra
Tilan,Tilan
Time Machinery,Time Travel
Time Technology,Time Travel
Time Travel,Time Travel
Time Travel Technology,Time Travel
Hunting,Tracking
Stalk & Hide,Tracking
Stalk and Hide,Tracking
Tracking,Tracking
Tracking and Hunting,Tracking
Trained to cultivate the golden Apples of Immortality,Trained to cultivate the golden Apples of Immortality
Trampling,Trampling
Trance,Trance
Trance.,Trance
Trapping,Trapping
Lore and Trivia,Trivia
Trivia,Trivia
Trivia ,Trivia 
Tsiln Background and Culture,Tsiln Background and Culture
Tumbling,Tumbling
Tunneling,Tunneling
Turkish,Turkish
Understand/Translate Black Bolt's body language,Understand/Translate Black Bolt's body language
+1cs when fighting underwater.,Underwater Combat
Oceanic Warfare,Underwater Combat
Underwater Combat,Underwater Combat
Underwater Combat ,Underwater Combat 
Underwater Warfare,Underwater Combat 
Unicycling,Unicycling
Unknown,Unknown
Unrevealed,Unrevealed
Uranian Sciences,Uranian Sciences
Gd knowledge of the U.S. postal service,US Postal Service
Varies,Varies
Various,Various
Various based on their unique Celestial functions and abilities.,Various based on their unique Celestial functions and abilities.
Video Games,Video Games
Vietnamese,Vietnamese
Voodoo,Voodoo
Water Combat ,Water Combat 
Weapon & Energy Systems,Weapon Design
Weapon Design,Weapon Design
Weapon Design.,Weapon Design
Weapon Designs,Weapon Design
Weapon Engineering,Weapon Design
Weapon Systems,Weapon Design
Weapons Design,Weapon Design
Weapons Design and Engineering,Weapon Design
Weapons Repair,Weapon Design
Weapons Systems,Weapon Design
Melee Weapons,Weapon Master
Shurikens and other traditional Japanese Weapons,Weapon Master
Shurikens and other traditional Japanese weapons,Weapon Master
Traditional Japanese weapons,Weapon Master
Wakandan Weapons,Weapon Master
Asian Weapons,Weapon Master
Oriental Weapons,Weapon Master
Oriental Weapons Master,Weapon Master
Weapon Master,Weapon Master
Weapon Master ,Weapon Master
Weaponry,Weapon Master
Weapons,Weapon Master
Weapons Master,Weapon Master
Weapons Master ,Weapon Master
Ninja,Weapon Master;Stealth
Ninja skills,Weapon Master;Stealth
Ninja Training,Weapon Master;Stealth
Ninja Trainning,Weapon Master;Stealth
All Weapons,Weapon Master;Weapon Specialist
Oriental Weaponsmaster Katana,Weapon Master;Weapon Specialist
Axes,Weapon Specialist
billy club,Weapon Specialist
Blades of Ichor,Weapon Specialist
bow,Weapon Specialist
Bow and Arrow,Weapon Specialist
Bows,Weapon Specialist
Club,Weapon Specialist
Clubs,Weapon Specialist
Crossbow,Weapon Specialist
Fencing,Weapon Specialist
Gun Special,Weapon Specialist
Hammer of Nerkkod,Weapon Specialist
Katana,Weapon Specialist
Kendo,Weapon Specialist
Knives,Weapon Specialist
Mjolnir,Weapon Specialist
Pistols,Weapon Specialist
Semi-Automatic,Weapon Specialist
shuriken,Weapon Specialist
Shurikens,Weapon Specialist
Spear,Weapon Specialist
Sword,Weapon Specialist
sword,Weapon Specialist
Sword Mastery ,Weapon Specialist
Swords,Weapon Specialist
Swords Master,Weapon Specialist
Swordsman,Weapon Specialist
Swordsmanship,Weapon Specialist
Talents:Swordsmanship,Weapon Specialist
Throwing Knives,Weapon Specialist
Weapon Specialis,Weapon Specialist
Weapon Specialist,Weapon Specialist
Weapon Specialist ,Weapon Specialist
Weapons Master Sword,Weapon Specialist
Weapons Specialist,Weapon Specialist
Weapons Specialist ,Weapon Specialist
Weapos Specialist,Weapon Specialist
Whip,Weapon Specialist
Bloodaxe Marksmanship,Weapon Specialist
pistol. Pilot,Weapon Specialist;Pilot
Designing bows and arrows,Weapons Design
Armor and Weapons Design,Weapons Design
Arnim Zola's Discovery or Equipment ,Weapons Design
Arrow-Head Design ,Weapons Design
Weapons Expert,Weapon Master
Wrestling and Espionage. Knives,Wrestling;Detective/Espionage;Weapon Specialist
Writer,Writer
Writing,Writer
Xenobiology,Xenobiology
Xenochemistry,Xenochemistry
Yaw-Yan ,Yaw-Yan 
You name it,You name it
Yupik,Yupik
Zero G Combat,Zero G Combat
Zoologist of Magic,
